product_id,name,description,interest_rate_type,base_rate,term_months,min_amount,max_amount
50,LoanProd-0050 Gold,LoanProd-0050 Gold product for customers,FIXED,11.38,120,10000,10000000
51,LoanProd-0051 Auto,LoanProd-0051 Auto product for customers,FIXED,6.06,48,50000,1000000
52,LoanProd-0052 Gold,LoanProd-0052 Gold product for customers,FIXED,6.97,120,50000,1000000
53,LoanProd-0053 Auto,LoanProd-0053 Auto product for customers,FIXED,10.42,24,50000,1000000
54,LoanProd-0054 Personal,LoanProd-0054 Personal product for customers,FIXED,10.29,48,100000,1000000
55,LoanProd-0055 Gold,LoanProd-0055 Gold product for customers,FIXED,8.86,60,100000,500000
56,LoanProd-0056 Home,LoanProd-0056 Home product for customers,VARIABLE,6.74,84,100000,10000000
57,LoanProd-0057 Gold,LoanProd-0057 Gold product for customers,FIXED,7.83,120,10000,500000
58,LoanProd-0058 Auto,LoanProd-0058 Auto product for customers,VARIABLE,11.34,120,100000,1000000
59,LoanProd-0059 Personal,LoanProd-0059 Personal product for customers,VARIABLE,13.42,24,50000,500000
60,LoanProd-0060 Agriculture,LoanProd-0060 Agriculture product for customers,VARIABLE,8.31,84,100000,10000000
61,LoanProd-0061 Gold,LoanProd-0061 Gold product for customers,FIXED,10.79,48,50000,500000
62,LoanProd-0062 Auto,LoanProd-0062 Auto product for customers,FIXED,12.81,12,100000,500000
63,LoanProd-0063 Gold,LoanProd-0063 Gold product for customers,VARIABLE,13.28,84,100000,1000000
64,LoanProd-0064 Personal,LoanProd-0064 Personal product for customers,FIXED,10.91,120,50000,500000
65,LoanProd-0065 Education,LoanProd-0065 Education product for customers,VARIABLE,8.3,60,200000,10000000
66,LoanProd-0066 Personal,LoanProd-0066 Personal product for customers,FIXED,10.4,24,10000,1000000
67,LoanProd-0067 Home,LoanProd-0067 Home product for customers,VARIABLE,7.78,36,200000,500000
68,LoanProd-0068 Education,LoanProd-0068 Education product for customers,FIXED,9.72,60,10000,1000000
69,LoanProd-0069 Home,LoanProd-0069 Home product for customers,FIXED,12.59,60,200000,5000000
70,LoanProd-0070 Auto,LoanProd-0070 Auto product for customers,VARIABLE,10.77,12,100000,5000000
71,LoanProd-0071 Gold,LoanProd-0071 Gold product for customers,VARIABLE,13.66,48,100000,5000000
72,LoanProd-0072 Education,LoanProd-0072 Education product for customers,FIXED,10.36,36,50000,500000
73,LoanProd-0073 Agriculture,LoanProd-0073 Agriculture product for customers,VARIABLE,10.82,48,10000,5000000
74,LoanProd-0074 Personal,LoanProd-0074 Personal product for customers,FIXED,10.16,120,200000,500000
75,LoanProd-0075 Business,LoanProd-0075 Business product for customers,FIXED,11.82,48,100000,10000000
76,LoanProd-0076 Business,LoanProd-0076 Business product for customers,FIXED,7.87,120,100000,5000000
77,LoanProd-0077 Business,LoanProd-0077 Business product for customers,FIXED,6.66,36,50000,10000000
78,LoanProd-0078 Business,LoanProd-0078 Business product for customers,FIXED,13.41,48,10000,5000000
79,LoanProd-0079 Gold,LoanProd-0079 Gold product for customers,FIXED,7.12,24,10000,5000000
80,LoanProd-0080 Auto,LoanProd-0080 Auto product for customers,VARIABLE,11.78,60,50000,10000000
81,LoanProd-0081 Personal,LoanProd-0081 Personal product for customers,VARIABLE,8.41,120,200000,1000000
82,LoanProd-0082 Personal,LoanProd-0082 Personal product for customers,FIXED,10.25,84,50000,1000000
83,LoanProd-0083 Education,LoanProd-0083 Education product for customers,FIXED,13.21,24,50000,5000000
84,LoanProd-0084 Gold,LoanProd-0084 Gold product for customers,FIXED,12.13,36,10000,10000000
85,LoanProd-0085 Education,LoanProd-0085 Education product for customers,FIXED,8.46,84,100000,5000000
86,LoanProd-0086 Auto,LoanProd-0086 Auto product for customers,VARIABLE,10.8,36,100000,5000000
87,LoanProd-0087 Business,LoanProd-0087 Business product for customers,VARIABLE,12.77,60,10000,10000000
88,LoanProd-0088 Auto,LoanProd-0088 Auto product for customers,VARIABLE,10.5,48,10000,1000000
89,LoanProd-0089 Personal,LoanProd-0089 Personal product for customers,FIXED,8.95,12,50000,1000000
90,LoanProd-0090 Auto,LoanProd-0090 Auto product for customers,FIXED,10.96,36,100000,5000000
91,LoanProd-0091 Auto,LoanProd-0091 Auto product for customers,FIXED,12.79,36,50000,10000000
92,LoanProd-0092 Auto,LoanProd-0092 Auto product for customers,FIXED,8.24,120,50000,10000000
93,LoanProd-0093 Business,LoanProd-0093 Business product for customers,FIXED,13.24,84,10000,10000000
94,LoanProd-0094 Auto,LoanProd-0094 Auto product for customers,FIXED,9.88,24,50000,1000000
95,LoanProd-0095 Home,LoanProd-0095 Home product for customers,VARIABLE,6.7,48,50000,500000
96,LoanProd-0096 Personal,LoanProd-0096 Personal product for customers,FIXED,10.72,48,200000,1000000
97,LoanProd-0097 Business,LoanProd-0097 Business product for customers,FIXED,9.17,24,100000,500000
98,LoanProd-0098 Auto,LoanProd-0098 Auto product for customers,FIXED,12.71,60,50000,500000
99,LoanProd-0099 Personal,LoanProd-0099 Personal product for customers,VARIABLE,6.06,24,10000,10000000
100,LoanProd-0100 Home,LoanProd-0100 Home product for customers,FIXED,6.85,24,50000,1000000
101,LoanProd-0101 Personal,LoanProd-0101 Personal product for customers,FIXED,9.92,48,10000,500000
102,LoanProd-0102 Home,LoanProd-0102 Home product for customers,FIXED,11.17,24,100000,10000000
103,LoanProd-0103 Home,LoanProd-0103 Home product for customers,VARIABLE,7.17,120,100000,10000000
104,LoanProd-0104 Education,LoanProd-0104 Education product for customers,VARIABLE,11.6,12,100000,5000000
105,LoanProd-0105 Gold,LoanProd-0105 Gold product for customers,VARIABLE,6.02,48,50000,1000000
106,LoanProd-0106 Home,LoanProd-0106 Home product for customers,VARIABLE,12.35,36,50000,1000000
107,LoanProd-0107 Education,LoanProd-0107 Education product for customers,FIXED,6.66,48,200000,10000000
108,LoanProd-0108 Agriculture,LoanProd-0108 Agriculture product for customers,FIXED,8.28,48,100000,10000000
109,LoanProd-0109 Education,LoanProd-0109 Education product for customers,VARIABLE,12.7,48,10000,500000
110,LoanProd-0110 Gold,LoanProd-0110 Gold product for customers,VARIABLE,13.56,36,50000,500000
111,LoanProd-0111 Home,LoanProd-0111 Home product for customers,VARIABLE,13.79,48,200000,10000000
112,LoanProd-0112 Personal,LoanProd-0112 Personal product for customers,FIXED,8.76,84,200000,10000000
113,LoanProd-0113 Home,LoanProd-0113 Home product for customers,FIXED,6.21,60,50000,500000
114,LoanProd-0114 Agriculture,LoanProd-0114 Agriculture product for customers,VARIABLE,9.81,12,200000,500000
115,LoanProd-0115 Agriculture,LoanProd-0115 Agriculture product for customers,FIXED,7.25,24,10000,500000
116,LoanProd-0116 Business,LoanProd-0116 Business product for customers,VARIABLE,11.01,84,200000,500000
117,LoanProd-0117 Business,LoanProd-0117 Business product for customers,VARIABLE,11.06,24,100000,1000000
118,LoanProd-0118 Auto,LoanProd-0118 Auto product for customers,FIXED,7.59,48,10000,5000000
119,LoanProd-0119 Gold,LoanProd-0119 Gold product for customers,FIXED,6.57,24,200000,5000000
120,LoanProd-0120 Education,LoanProd-0120 Education product for customers,VARIABLE,9.31,48,10000,500000
121,LoanProd-0121 Personal,LoanProd-0121 Personal product for customers,FIXED,10.85,24,10000,500000
122,LoanProd-0122 Home,LoanProd-0122 Home product for customers,FIXED,9.63,36,50000,1000000
123,LoanProd-0123 Agriculture,LoanProd-0123 Agriculture product for customers,FIXED,11.62,12,50000,1000000
124,LoanProd-0124 Personal,LoanProd-0124 Personal product for customers,VARIABLE,8.76,84,200000,10000000
125,LoanProd-0125 Gold,LoanProd-0125 Gold product for customers,FIXED,7.01,48,100000,500000
126,LoanProd-0126 Business,LoanProd-0126 Business product for customers,FIXED,12.41,48,200000,5000000
127,LoanProd-0127 Gold,LoanProd-0127 Gold product for customers,FIXED,13.06,36,50000,1000000
128,LoanProd-0128 Home,LoanProd-0128 Home product for customers,FIXED,6.79,36,10000,10000000
129,LoanProd-0129 Agriculture,LoanProd-0129 Agriculture product for customers,VARIABLE,7.31,48,200000,5000000
130,LoanProd-0130 Auto,LoanProd-0130 Auto product for customers,VARIABLE,9.56,120,50000,5000000
131,LoanProd-0131 Home,LoanProd-0131 Home product for customers,FIXED,9.9,36,100000,5000000
132,LoanProd-0132 Auto,LoanProd-0132 Auto product for customers,FIXED,9.91,120,100000,10000000
133,LoanProd-0133 Personal,LoanProd-0133 Personal product for customers,VARIABLE,10.91,48,100000,10000000
134,LoanProd-0134 Gold,LoanProd-0134 Gold product for customers,VARIABLE,10.71,24,50000,5000000
135,LoanProd-0135 Agriculture,LoanProd-0135 Agriculture product for customers,VARIABLE,11.67,120,10000,500000
136,LoanProd-0136 Personal,LoanProd-0136 Personal product for customers,VARIABLE,11.0,36,10000,10000000
137,LoanProd-0137 Gold,LoanProd-0137 Gold product for customers,FIXED,13.77,48,100000,10000000
138,LoanProd-0138 Gold,LoanProd-0138 Gold product for customers,VARIABLE,12.87,24,10000,10000000
139,LoanProd-0139 Agriculture,LoanProd-0139 Agriculture product for customers,FIXED,12.01,48,200000,1000000
140,LoanProd-0140 Gold,LoanProd-0140 Gold product for customers,FIXED,11.92,84,10000,10000000
141,LoanProd-0141 Gold,LoanProd-0141 Gold product for customers,FIXED,8.06,36,50000,500000
142,LoanProd-0142 Auto,LoanProd-0142 Auto product for customers,FIXED,8.41,120,100000,500000
143,LoanProd-0143 Auto,LoanProd-0143 Auto product for customers,FIXED,12.3,36,200000,10000000
144,LoanProd-0144 Gold,LoanProd-0144 Gold product for customers,FIXED,8.29,36,200000,10000000
145,LoanProd-0145 Agriculture,LoanProd-0145 Agriculture product for customers,FIXED,8.99,120,100000,500000
146,LoanProd-0146 Business,LoanProd-0146 Business product for customers,FIXED,7.63,84,50000,500000
147,LoanProd-0147 Personal,LoanProd-0147 Personal product for customers,VARIABLE,10.44,120,50000,1000000
148,LoanProd-0148 Auto,LoanProd-0148 Auto product for customers,VARIABLE,11.16,24,10000,5000000
149,LoanProd-0149 Personal,LoanProd-0149 Personal product for customers,FIXED,11.74,48,200000,10000000
150,LoanProd-0150 Agriculture,LoanProd-0150 Agriculture product for customers,VARIABLE,6.09,24,200000,1000000
151,LoanProd-0151 Education,LoanProd-0151 Education product for customers,FIXED,12.79,120,200000,1000000
152,LoanProd-0152 Home,LoanProd-0152 Home product for customers,FIXED,6.54,24,50000,500000
153,LoanProd-0153 Agriculture,LoanProd-0153 Agriculture product for customers,FIXED,13.13,84,100000,5000000
154,LoanProd-0154 Auto,LoanProd-0154 Auto product for customers,VARIABLE,12.54,120,50000,1000000
155,LoanProd-0155 Agriculture,LoanProd-0155 Agriculture product for customers,FIXED,9.38,48,200000,500000
156,LoanProd-0156 Agriculture,LoanProd-0156 Agriculture product for customers,FIXED,13.51,84,200000,10000000
157,LoanProd-0157 Education,LoanProd-0157 Education product for customers,FIXED,11.58,48,10000,5000000
158,LoanProd-0158 Education,LoanProd-0158 Education product for customers,VARIABLE,10.85,36,200000,1000000
159,LoanProd-0159 Home,LoanProd-0159 Home product for customers,VARIABLE,13.34,36,10000,500000
160,LoanProd-0160 Agriculture,LoanProd-0160 Agriculture product for customers,FIXED,7.16,60,100000,500000
161,LoanProd-0161 Gold,LoanProd-0161 Gold product for customers,FIXED,8.99,120,10000,500000
162,LoanProd-0162 Home,LoanProd-0162 Home product for customers,VARIABLE,8.33,12,200000,5000000
163,LoanProd-0163 Agriculture,LoanProd-0163 Agriculture product for customers,FIXED,10.33,12,50000,500000
164,LoanProd-0164 Personal,LoanProd-0164 Personal product for customers,VARIABLE,11.1,12,100000,500000
165,LoanProd-0165 Personal,LoanProd-0165 Personal product for customers,FIXED,6.51,48,200000,5000000
166,LoanProd-0166 Home,LoanProd-0166 Home product for customers,FIXED,12.67,24,10000,5000000
167,LoanProd-0167 Gold,LoanProd-0167 Gold product for customers,FIXED,9.82,48,100000,5000000
168,LoanProd-0168 Gold,LoanProd-0168 Gold product for customers,FIXED,7.58,60,10000,500000
169,LoanProd-0169 Business,LoanProd-0169 Business product for customers,VARIABLE,9.05,48,10000,10000000
170,LoanProd-0170 Agriculture,LoanProd-0170 Agriculture product for customers,VARIABLE,10.39,12,10000,500000
171,LoanProd-0171 Auto,LoanProd-0171 Auto product for customers,VARIABLE,12.32,84,10000,10000000
172,LoanProd-0172 Gold,LoanProd-0172 Gold product for customers,FIXED,9.87,12,200000,500000
173,LoanProd-0173 Home,LoanProd-0173 Home product for customers,VARIABLE,10.13,48,200000,10000000
174,LoanProd-0174 Home,LoanProd-0174 Home product for customers,FIXED,10.55,48,200000,10000000
175,LoanProd-0175 Personal,LoanProd-0175 Personal product for customers,FIXED,11.31,24,200000,500000
176,LoanProd-0176 Business,LoanProd-0176 Business product for customers,FIXED,11.76,120,10000,5000000
177,LoanProd-0177 Gold,LoanProd-0177 Gold product for customers,FIXED,9.0,36,100000,500000
178,LoanProd-0178 Gold,LoanProd-0178 Gold product for customers,VARIABLE,9.38,48,50000,5000000
179,LoanProd-0179 Auto,LoanProd-0179 Auto product for customers,VARIABLE,13.61,24,50000,5000000
180,LoanProd-0180 Auto,LoanProd-0180 Auto product for customers,VARIABLE,9.2,24,10000,10000000
181,LoanProd-0181 Agriculture,LoanProd-0181 Agriculture product for customers,VARIABLE,8.68,12,10000,5000000
182,LoanProd-0182 Gold,LoanProd-0182 Gold product for customers,VARIABLE,13.43,48,200000,1000000
183,LoanProd-0183 Home,LoanProd-0183 Home product for customers,FIXED,6.05,120,100000,1000000
184,LoanProd-0184 Auto,LoanProd-0184 Auto product for customers,VARIABLE,7.43,120,200000,10000000
185,LoanProd-0185 Gold,LoanProd-0185 Gold product for customers,FIXED,8.04,12,100000,500000
186,LoanProd-0186 Auto,LoanProd-0186 Auto product for customers,VARIABLE,7.01,60,100000,5000000
187,LoanProd-0187 Business,LoanProd-0187 Business product for customers,FIXED,13.75,12,200000,1000000
188,LoanProd-0188 Home,LoanProd-0188 Home product for customers,VARIABLE,7.0,84,10000,10000000
189,LoanProd-0189 Agriculture,LoanProd-0189 Agriculture product for customers,FIXED,10.44,84,50000,10000000
190,LoanProd-0190 Agriculture,LoanProd-0190 Agriculture product for customers,VARIABLE,9.75,84,10000,500000
191,LoanProd-0191 Agriculture,LoanProd-0191 Agriculture product for customers,VARIABLE,7.12,24,200000,10000000
192,LoanProd-0192 Auto,LoanProd-0192 Auto product for customers,FIXED,12.24,12,10000,10000000
193,LoanProd-0193 Home,LoanProd-0193 Home product for customers,FIXED,6.59,120,50000,5000000
194,LoanProd-0194 Auto,LoanProd-0194 Auto product for customers,FIXED,8.36,36,200000,1000000
195,LoanProd-0195 Education,LoanProd-0195 Education product for customers,FIXED,8.79,84,200000,10000000
196,LoanProd-0196 Business,LoanProd-0196 Business product for customers,FIXED,12.06,120,200000,500000
197,LoanProd-0197 Education,LoanProd-0197 Education product for customers,VARIABLE,6.87,36,200000,5000000
198,LoanProd-0198 Agriculture,LoanProd-0198 Agriculture product for customers,VARIABLE,9.22,48,200000,5000000
199,LoanProd-0199 Home,LoanProd-0199 Home product for customers,VARIABLE,10.19,24,50000,5000000
200,LoanProd-0200 Agriculture,LoanProd-0200 Agriculture product for customers,VARIABLE,6.13,60,100000,1000000
201,LoanProd-0201 Auto,LoanProd-0201 Auto product for customers,VARIABLE,13.56,84,200000,5000000
202,LoanProd-0202 Auto,LoanProd-0202 Auto product for customers,VARIABLE,10.99,84,50000,1000000
203,LoanProd-0203 Agriculture,LoanProd-0203 Agriculture product for customers,FIXED,10.64,120,100000,1000000
204,LoanProd-0204 Gold,LoanProd-0204 Gold product for customers,FIXED,9.67,36,100000,10000000
205,LoanProd-0205 Education,LoanProd-0205 Education product for customers,FIXED,9.37,120,10000,5000000
206,LoanProd-0206 Business,LoanProd-0206 Business product for customers,FIXED,6.66,36,10000,500000
207,LoanProd-0207 Home,LoanProd-0207 Home product for customers,FIXED,9.18,120,50000,10000000
208,LoanProd-0208 Home,LoanProd-0208 Home product for customers,FIXED,10.03,24,200000,5000000
209,LoanProd-0209 Gold,LoanProd-0209 Gold product for customers,FIXED,11.36,120,200000,5000000
210,LoanProd-0210 Gold,LoanProd-0210 Gold product for customers,VARIABLE,12.91,120,50000,1000000
211,LoanProd-0211 Personal,LoanProd-0211 Personal product for customers,VARIABLE,10.06,84,50000,5000000
212,LoanProd-0212 Business,LoanProd-0212 Business product for customers,FIXED,10.8,12,100000,10000000
213,LoanProd-0213 Business,LoanProd-0213 Business product for customers,FIXED,12.55,48,50000,10000000
214,LoanProd-0214 Education,LoanProd-0214 Education product for customers,VARIABLE,12.82,84,50000,1000000
215,LoanProd-0215 Home,LoanProd-0215 Home product for customers,FIXED,6.73,48,50000,10000000
216,LoanProd-0216 Business,LoanProd-0216 Business product for customers,VARIABLE,7.17,60,50000,5000000
217,LoanProd-0217 Business,LoanProd-0217 Business product for customers,VARIABLE,8.11,60,50000,10000000
218,LoanProd-0218 Education,LoanProd-0218 Education product for customers,FIXED,8.32,12,10000,1000000
219,LoanProd-0219 Home,LoanProd-0219 Home product for customers,VARIABLE,11.31,12,100000,10000000
220,LoanProd-0220 Agriculture,LoanProd-0220 Agriculture product for customers,FIXED,8.56,60,10000,5000000
221,LoanProd-0221 Personal,LoanProd-0221 Personal product for customers,FIXED,12.59,48,10000,10000000
222,LoanProd-0222 Education,LoanProd-0222 Education product for customers,FIXED,11.84,84,50000,1000000
223,LoanProd-0223 Personal,LoanProd-0223 Personal product for customers,VARIABLE,12.76,24,200000,1000000
224,LoanProd-0224 Agriculture,LoanProd-0224 Agriculture product for customers,FIXED,6.72,12,10000,500000
225,LoanProd-0225 Gold,LoanProd-0225 Gold product for customers,FIXED,10.21,60,50000,500000
226,LoanProd-0226 Gold,LoanProd-0226 Gold product for customers,VARIABLE,10.17,84,10000,5000000
227,LoanProd-0227 Agriculture,LoanProd-0227 Agriculture product for customers,FIXED,7.39,84,50000,5000000
228,LoanProd-0228 Education,LoanProd-0228 Education product for customers,VARIABLE,6.52,60,50000,500000
229,LoanProd-0229 Gold,LoanProd-0229 Gold product for customers,FIXED,6.39,36,50000,10000000
230,LoanProd-0230 Business,LoanProd-0230 Business product for customers,VARIABLE,6.71,120,200000,10000000
231,LoanProd-0231 Auto,LoanProd-0231 Auto product for customers,FIXED,10.09,120,10000,1000000
232,LoanProd-0232 Auto,LoanProd-0232 Auto product for customers,VARIABLE,10.16,36,100000,10000000
233,LoanProd-0233 Education,LoanProd-0233 Education product for customers,VARIABLE,12.15,120,10000,5000000
234,LoanProd-0234 Education,LoanProd-0234 Education product for customers,FIXED,6.59,120,10000,500000
235,LoanProd-0235 Personal,LoanProd-0235 Personal product for customers,FIXED,11.39,84,50000,500000
236,LoanProd-0236 Agriculture,LoanProd-0236 Agriculture product for customers,VARIABLE,9.98,24,200000,5000000
237,LoanProd-0237 Auto,LoanProd-0237 Auto product for customers,FIXED,10.46,12,100000,1000000
238,LoanProd-0238 Education,LoanProd-0238 Education product for customers,VARIABLE,10.85,48,200000,5000000
239,LoanProd-0239 Education,LoanProd-0239 Education product for customers,FIXED,12.06,12,200000,10000000
240,LoanProd-0240 Business,LoanProd-0240 Business product for customers,VARIABLE,11.52,12,200000,10000000
241,LoanProd-0241 Business,LoanProd-0241 Business product for customers,FIXED,11.27,60,50000,10000000
242,LoanProd-0242 Auto,LoanProd-0242 Auto product for customers,VARIABLE,10.36,84,100000,500000
243,LoanProd-0243 Home,LoanProd-0243 Home product for customers,VARIABLE,13.03,120,50000,10000000
244,LoanProd-0244 Business,LoanProd-0244 Business product for customers,FIXED,10.74,24,200000,10000000
245,LoanProd-0245 Business,LoanProd-0245 Business product for customers,VARIABLE,10.12,84,10000,1000000
246,LoanProd-0246 Business,LoanProd-0246 Business product for customers,VARIABLE,6.69,48,100000,1000000
247,LoanProd-0247 Auto,LoanProd-0247 Auto product for customers,FIXED,9.71,60,50000,5000000
248,LoanProd-0248 Gold,LoanProd-0248 Gold product for customers,FIXED,7.08,36,200000,10000000
249,LoanProd-0249 Business,LoanProd-0249 Business product for customers,FIXED,9.47,60,200000,10000000
250,LoanProd-0250 Personal,LoanProd-0250 Personal product for customers,FIXED,10.39,24,100000,500000
251,LoanProd-0251 Personal,LoanProd-0251 Personal product for customers,FIXED,13.39,84,100000,500000
252,LoanProd-0252 Agriculture,LoanProd-0252 Agriculture product for customers,VARIABLE,6.87,120,200000,5000000
253,LoanProd-0253 Business,LoanProd-0253 Business product for customers,FIXED,10.57,120,50000,5000000
254,LoanProd-0254 Agriculture,LoanProd-0254 Agriculture product for customers,VARIABLE,8.81,12,200000,500000
255,LoanProd-0255 Education,LoanProd-0255 Education product for customers,FIXED,12.73,36,200000,500000
256,LoanProd-0256 Home,LoanProd-0256 Home product for customers,VARIABLE,12.19,12,50000,5000000
257,LoanProd-0257 Personal,LoanProd-0257 Personal product for customers,FIXED,10.18,48,200000,5000000
258,LoanProd-0258 Education,LoanProd-0258 Education product for customers,VARIABLE,13.94,84,50000,500000
259,LoanProd-0259 Agriculture,LoanProd-0259 Agriculture product for customers,FIXED,10.72,12,10000,500000
260,LoanProd-0260 Education,LoanProd-0260 Education product for customers,FIXED,8.72,12,10000,10000000
261,LoanProd-0261 Agriculture,LoanProd-0261 Agriculture product for customers,FIXED,9.95,24,10000,10000000
262,LoanProd-0262 Education,LoanProd-0262 Education product for customers,VARIABLE,7.19,24,50000,1000000
263,LoanProd-0263 Agriculture,LoanProd-0263 Agriculture product for customers,FIXED,9.26,24,10000,500000
264,LoanProd-0264 Business,LoanProd-0264 Business product for customers,FIXED,13.09,12,200000,1000000
265,LoanProd-0265 Home,LoanProd-0265 Home product for customers,FIXED,12.5,120,50000,10000000
266,LoanProd-0266 Education,LoanProd-0266 Education product for customers,VARIABLE,7.11,84,200000,5000000
267,LoanProd-0267 Auto,LoanProd-0267 Auto product for customers,VARIABLE,13.56,84,100000,500000
268,LoanProd-0268 Education,LoanProd-0268 Education product for customers,VARIABLE,9.96,120,10000,5000000
269,LoanProd-0269 Personal,LoanProd-0269 Personal product for customers,VARIABLE,13.57,60,100000,10000000
270,LoanProd-0270 Education,LoanProd-0270 Education product for customers,VARIABLE,8.05,84,200000,10000000
271,LoanProd-0271 Agriculture,LoanProd-0271 Agriculture product for customers,FIXED,8.9,36,100000,5000000
272,LoanProd-0272 Auto,LoanProd-0272 Auto product for customers,VARIABLE,8.64,12,100000,10000000
273,LoanProd-0273 Education,LoanProd-0273 Education product for customers,VARIABLE,13.17,60,200000,5000000
274,LoanProd-0274 Agriculture,LoanProd-0274 Agriculture product for customers,FIXED,11.33,120,100000,1000000
275,LoanProd-0275 Agriculture,LoanProd-0275 Agriculture product for customers,VARIABLE,10.49,120,50000,5000000
276,LoanProd-0276 Education,LoanProd-0276 Education product for customers,VARIABLE,11.04,120,200000,10000000
